RAW COUNTS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,Total
Sample_A90_lowconc_rep2,0,0,0,270,16,287,76,0,80,0,0,0,0,0,18,0,0,2,0,0,0,0,0,0,320,0,253,0,0,92,54,352,0,0,74,221,0,174,0,0,0,318,0,0,0,365,0,0,373,0,695,753,0,0,0,0,1119,378,241,0,0,0,0,0,0,0,26,0,181,49,0,0,32,0,0,71,463,0,0,0,8,0,111,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,7625
Sample_A95_highconc_rep1,0,2351,7032,2213,488,5421,432,1508,336,594,947,542,1405,3,1186,994,0,21,1437,704,2252,1146,49,429,1312,1026,2304,988,2212,1449,1221,2424,0,548,458,852,2751,657,492,2845,914,2732,3499,2886,199,4,2300,1316,2544,0,3187,10682,3217,807,454,2611,5847,2937,1496,1082,1050,3706,1676,15,0,0,266,1943,1798,392,113,1747,914,29,675,2,5250,0,1010,2844,696,0,1070,3673,518,121,702,5233,1,3058,18,3742,3076,269,23,1608,335,0,149316
Sample_A95_highconc_rep2,0,66,558,231,21,402,4,67,26,42,103,20,36,1,110,61,0,62,60,61,136,60,0,50,74,97,124,128,83,102,38,300,0,53,77,203,225,112,49,298,66,188,290,273,14,111,108,131,65,0,235,535,133,38,10,300,574,172,123,78,133,140,59,3,0,0,30,185,147,36,14,174,90,2,46,42,260,18,38,35,28,0,52,255,29,7,19,516,98,252,0,183,275,17,8,144,9,0,10928
Sample_A95_lowconc_rep1,0,230,236,0,0,93,0,0,0,0,0,0,0,0,20,0,0,0,157,50,0,0,0,0,0,60,0,94,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,213,396,115,86,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,4,0,0,38,0,0,24,0,2270
Sample_A95_lowconc_rep2,0,335,262,0,0,137,0,0,0,0,0,0,0,0,18,217,0,0,0,0,218,0,0,0,46,93,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,315,242,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,4,0,0,8,0,0,23,0,114,34,0,0,0,0,0,0,0,0,0,40,0,0,0,0,149,0,0,0,0,0,0,6,0,0,0,2815
Sample_A99_highconc_rep1,0,3205,7658,2544,153,5731,332,632,454,0,361,245,840,478,1,1509,0,23,2284,0,1,334,40,479,199,1350,2105,975,678,1467,964,4195,0,0,283,1861,1883,3160,580,4591,2188,2726,1244,4163,205,638,2234,1295,797,0,2625,6944,1668,594,188,1540,10465,2724,1032,132,0,4096,414,7,0,0,161,1545,2058,537,20,1040,1685,57,560,186,3839,0,1115,911,1133,0,596,2012,110,83,0,7688,1,908,15,1252,1487,0,25,0,88,0,128626
Sample_A99_highconc_rep2,0,881,527,124,37,677,28,37,75,36,7,59,53,0,174,80,0,5,80,19,407,32,0,0,218,262,291,142,92,199,41,469,0,0,33,162,404,222,77,213,474,476,536,432,0,146,392,228,221,0,970,1137,342,95,22,421,1217,147,188,0,120,694,180,4,0,0,11,36,166,52,0,140,42,1,48,22,770,43,0,64,32,0,154,323,21,9,0,988,197,120,2,235,481,56,46,106,85,0,18855
Sample_A99_lowconc_rep1,0,0,0,0,0,197,0,145,11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,245,0,0,0,0,0,155,0,0,0,0,0,0,0,222,0,0,0,0,204,136,0,0,0,0,0,192,0,15,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,108,0,0,53,0,0,4,0,30,0,2105
Sample_A99_lowconc_rep2,0,280,0,0,0,455,0,139,0,0,0,0,0,1,21,89,0,0,0,0,347,0,2,101,0,0,0,0,0,0,60,0,0,0,0,0,0,233,0,0,0,0,0,752,49,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,6,0,0,0,0,0,0,0,48,0,0,65,0,3,63,0,0,0,0,0,0,0,0,0,0,0,0,157,0,1,152,0,0,0,0,0,0,3043
Sample_Control_pos_articvalid,1659,5373,3588,1424,554,1058,1409,377,1015,2114,1976,870,519,85,1107,2424,369,86,1124,333,1,722,57,622,1154,1037,1767,658,1539,2202,1567,1887,757,3666,1091,1746,1727,1600,733,3106,1907,3471,2573,8,2526,17,2577,1947,2058,1302,3017,2598,3641,2229,548,2105,2357,3784,1548,2083,921,3144,1705,20,438,189,93,598,713,249,198,1269,557,42,561,272,2091,1407,916,1295,822,2521,1228,2050,828,2007,1533,2122,5,1432,195,1768,2358,2259,1512,2894,1205,2511,143327
